bulk_id,facet,slab_id
73nhvjxyxf,214,hohowiro_27
73nhvjxyxf,001,roredega_17
73nhvjxyxf,101,nanewuli_55
73nhvjxyxf,314,tawiguki_37
73nhvjxyxf,111,momaposi_60
6pmrzrv36f,011,tenefane_67
6pmrzrv36f,110,mebusovi_43
6pmrzrv36f,010,wefiwowi_30
6pmrzrv36f,100,wohofusi_68
6pmrzrv36f,001,gulohahe_77
6pmrzrv36f,101,fonutopo_96
6pmrzrv36f,111,fedavego_65
zimuby8uzj,011,totuvuwi_77
zimuby8uzj,110,wawaweni_90
zimuby8uzj,010,bekufufi_53
zimuby8uzj,100,wakidowo_59
zimuby8uzj,001,hofarame_76
zimuby8uzj,101,lehesona_48
zimuby8uzj,111,nelebiho_60
zimixdvdxd,011,gusasaru_88
zimixdvdxd,110,gotafeka_39
zimixdvdxd,010,hosetebu_75
zimixdvdxd,100,vepufiga_56
zimixdvdxd,214,fakaturo_52
zimixdvdxd,001,rugedebu_48
zimixdvdxd,101,goburido_00
zimixdvdxd,314,nabebiwe_99
zimixdvdxd,111,fugorumi_32
v59s9lxdxr,011,fogefebo_25
v59s9lxdxr,110,kigapuwe_39
v59s9lxdxr,010,kamudosa_76
v59s9lxdxr,100,dakohohu_74
v59s9lxdxr,214,fidadovi_59
v59s9lxdxr,001,sarilohe_63
v59s9lxdxr,101,kamufuhu_94
v59s9lxdxr,314,himipatu_18
v59s9lxdxr,111,nalaholi_61
nu7hbg6rnt,011,vovikuke_14
nu7hbg6rnt,110,denikiha_00
nu7hbg6rnt,010,sapivike_61
nu7hbg6rnt,100,tulubove_66
nu7hbg6rnt,214,bilafifo_78
nu7hbg6rnt,001,patowami_63
nu7hbg6rnt,101,lupohiwe_11
nu7hbg6rnt,314,timomuge_52
nu7hbg6rnt,111,miwopefo_92
mrbine8k72,011,donafeki_93
mrbine8k72,110,matetuwa_70
mrbine8k72,010,kapapohe_58
mrbine8k72,100,wafitemi_24
mrbine8k72,001,rokepedo_32
mrbine8k72,101,basodoru_12
mrbine8k72,111,vidagita_61
cqbrnhbacg,011,makivefo_71
cqbrnhbacg,110,mugorego_51
cqbrnhbacg,010,kobehubu_94
cqbrnhbacg,100,ladarane_77
cqbrnhbacg,214,bamefada_22
cqbrnhbacg,001,legigupo_95
cqbrnhbacg,101,kugufiwi_66
cqbrnhbacg,314,nunuveki_37
cqbrnhbacg,111,madorile_84
mj7wbfb5nt,011,pumusuma_66
mj7wbfb5nt,110,lekusutu_76
mj7wbfb5nt,010,semaripe_29
mj7wbfb5nt,100,dukavula_34
mj7wbfb5nt,214,limomelu_09
mj7wbfb5nt,001,nivolomo_28
mj7wbfb5nt,101,mabivuso_96
mj7wbfb5nt,314,tepakuwi_57
mj7wbfb5nt,111,gifudati_64
64cg6j9any,011,gowewule_51
64cg6j9any,110,petawepi_32
64cg6j9any,010,wiwiwetu_44
64cg6j9any,100,sokatadi_51
64cg6j9any,214,weruveta_06
64cg6j9any,001,vapopihe_87
64cg6j9any,101,gerokede_95
64cg6j9any,314,devadiba_69
64cg6j9any,111,gefahino_13
6qvlcl6iv2,011,banofoso_87
6qvlcl6iv2,110,relotewa_95
6qvlcl6iv2,010,miwimadu_42
6qvlcl6iv2,100,bekusuvu_00
6qvlcl6iv2,001,dunewiho_30
6qvlcl6iv2,101,vupohari_24
6qvlcl6iv2,111,wowafabo_48
c1na8ebl65,011,wodegisu_72
c1na8ebl65,110,nunitika_61
c1na8ebl65,010,rakutudo_84
c1na8ebl65,001,vomomeko_58
c1na8ebl65,101,wemolifo_61
c1na8ebl65,111,bakahute_87
ngn4xec1mo,011,wedipuda_87
ngn4xec1mo,110,gitimubo_40
ngn4xec1mo,010,gutesono_81
ngn4xec1mo,100,pumeluwo_29
ngn4xec1mo,001,fiwesato_11
ngn4xec1mo,101,gisiwote_01
ngn4xec1mo,111,fewirude_45
8l919k6s7p,011,roditaga_35
8l919k6s7p,110,lulidoka_21
8l919k6s7p,010,kosofeki_50
8l919k6s7p,100,kufiloga_64
8l919k6s7p,001,kodefivo_37
8l919k6s7p,101,wetokahi_33
8l919k6s7p,111,nofabigo_84
9573vicg7f,011,votifose_80
9573vicg7f,110,wefedifi_91
9573vicg7f,010,litupuwo_56
9573vicg7f,100,fakuboni_07
9573vicg7f,001,seworodu_03
9573vicg7f,101,satumigi_76
9573vicg7f,111,hatidovi_34
91746y6g6i,011,wuhomoma_14
91746y6g6i,110,nemoreba_40
91746y6g6i,010,bibuwopo_49
ctz1c1vtzf,011,wumafogo_36
ctz1c1vtzf,110,muvotate_20
ctz1c1vtzf,010,himigeba_71
ctz1c1vtzf,100,dagaviba_06
ctz1c1vtzf,214,wikekobu_17
ctz1c1vtzf,001,mudogude_54
ctz1c1vtzf,101,pelomove_90
ctz1c1vtzf,314,garakogu_51
ctz1c1vtzf,111,hogifawe_62
na9exovani,011,towihilu_74
na9exovani,110,potusori_57
na9exovani,010,komidiru_52
na9exovani,100,ludeboba_89
na9exovani,001,nobutobe_59
na9exovani,101,mufebiga_81
na9exovani,111,dorahima_98
vgxp94xi9i,011,sekalifi_40
vgxp94xi9i,110,pawitoni_15
vgxp94xi9i,010,tuponoka_98
vgxp94xi9i,100,vatumivu_64
vgxp94xi9i,001,fipakoso_99
vgxp94xi9i,101,sigonoga_00
vgxp94xi9i,314,posawari_14
vgxp94xi9i,111,huvarupo_42
zhvh759485,011,mikanuge_85
zhvh759485,110,bitohake_70
zhvh759485,010,dilituwu_40
zhvh759485,100,pilewope_09
zhvh759485,214,parasihe_00
